Site ID,Site Name,Date,Flow (CFS),Flow Meas. Method,Flow Severity,Temperature (°C),DO (mg/L),Conductivity (uS/cm),pH,Total Suspended Solids (mg/L),E. coli (MPN/100 mL),Ammonia (mg/L),Total P (mg/L),Nitrate (mg/L),Days Since Rain,Secchi Disc Transparency (m),Total Suspended Solids (µg/L),Ammonia (µg/L),TKN (µg/L),Total P (µg/L),Nitrate (µg/L),TDS,Longitude,Latitude
12673,Cypress Creek at Blanco River,9/21/2016,11,,3,25.5,8.4,554,7.9,1.5,320,0.4,0.02,0.33,32,,1500,400,,20,330,360.1,-98.094754,29.991514
12673,Cypress Creek at Blanco River,1/11/2017,17,,2,16.1,9.7,581,7.6,0.5,2400,0.1,0.02,0.29,37,,500,100,,20,290,377.65,-98.094754,29.991514
12673,Cypress Creek at Blanco River,3/28/2017,16,,3,22.2,8.5,572,7.8,2.7,120,0.1,0.02,0.28,17,,2700,100,,20,280,371.8,-98.094754,29.991514
12673,Cypress Creek at Blanco River,6/1/2017,8.6,,3,22.5,8.2,566,7.7,0.5,340,0.1,0.02,0.17,1,,500,100,,20,170,367.9,-98.094754,29.991514
12673,Cypress Creek at Blanco River,11/2/2017,10,,2,19,8.9,612,7.5,0.5,870,0.1,0.02,0.12,2,,500,100,,20,120,397.8,-98.094754,29.991514
12673,Cypress Creek at Blanco River,2/1/2018,2.9,,2,14.1,10.9,619,7.4,0.5,140,0.14,0.02,0.13,15,,500,140,,20,130,402.35,-98.094754,29.991514
12673,Cypress Creek at Blanco River,5/16/2018,4.4,,2,25.1,9.7,563,7.8,0.5,190,0.1,0.02,0.14,1,,500,100,,20,140,365.95,-98.094754,29.991514
12673,Cypress Creek at Blanco River,8/22/2018,0.8,,2,27.8,8.4,602,7.7,4.3,100,0.1,0.02,0.05,44,,4300,100,,20,50,391.3,-98.094754,29.991514
12673,Cypress Creek at Blanco River,12/5/2018,15,,5,14.3,10.8,605,7.5,0.5,1000,0.1,0.02,0.35,4,,500,100,,20,350,393.25,-98.094754,29.991514
12673,Cypress Creek at Blanco River,3/13/2019,13,,3,19.3,7.1,608,7.7,2.1,2400,0.1,0.02,0.38,0,,2100,100,,20,380,395.2,-98.094754,29.991514
12673,Cypress Creek at Blanco River,8/22/2019,8,,3,28.3,9.4,514,8.1,0.9,200,0.1,0.02,0.09,38,,900,100,,20,90,334.1,-98.094754,29.991514
12673,Cypress Creek at Blanco River,9/24/2019,7,,3,27.4,9.6,512,8.1,1.2,120,0.1,0.02,0.05,31,,1200,100,,20,50,332.8,-98.094754,29.991514
12673,Cypress Creek at Blanco River,12/9/2019,1.5,,3,18.7,10.9,549,8.1,0.5,1600,0.1,0.02,0.05,8,,500,100,,20,50,356.85,-98.094754,29.991514
12673,Cypress Creek at Blanco River,6/30/2020,7.9,,3,25.1,8.6,572,8.1,3.1,110,0.1,0.02,0.232,1,,3100,100,,20,232,371.8,-98.094754,29.991514
12673,Cypress Creek at Blanco River,9/10/2020,10.4,,5,22.7,8.1,521,7.8,2.6,460,0.1,0.02,0.145,1,,2600,100,,20,145,338.65,-98.094754,29.991514
12673,Cypress Creek at Blanco River,12/9/2020,1.5,,2,10.8,9.6,579,7.4,0.7,240,0.1,0.02,0.05,14,,700,100,,20,50,376.35,-98.094754,29.991514
12673,Cypress Creek at Blanco River,3/3/2021,2.4,,3,11.7,10.1,623,8,0.5,340,0.1,0.02,0.1,5,0.3,500,100,,20,100,404.95,-98.094754,29.991514
12673,Cypress Creek at Blanco River,6/9/2021,22,,5,23.8,8,604,8.1,1,78,0.1,0.02,0.607,3,0.5,1000,100,,20,607,392.6,-98.094754,29.991514
12673,Cypress Creek at Blanco River,9/9/2021,4,,3,24,7.2,596,7.9,2.5,110,0.1,0.02,0.05,3,0.1,2500,100,,20,50,387.4,-98.094754,29.991514
12673,Cypress Creek at Blanco River,12/8/2021,11,,3,15.8,9.4,596,7.9,1.7,180,0.1,0.02,0.3,12,0.7,1700,100,,20,300,387.4,-98.094754,29.991514
12673,Cypress Creek at Blanco River,3/9/2022,6.5,,3,12.6,10.1,599,7.9,0.5,88,0.1,0.02,0.216,2,0.75,500,100,,20,216,389.35,-98.094754,29.991514
12673,Cypress Creek at Blanco River,6/15/2022,0.4,,2,26.2,6.3,618,7.5,2.9,8,0.1,0.024,0.05,22,1,2900,100,,24,50,401.7,-98.094754,29.991514
12673,Cypress Creek at Blanco River,9/8/2022,0.3,,2,23.8,5.1,569,7.5,2.9,730,0.1,0.02,0.05,1,0.2,2900,100,,20,50,369.85,-98.094754,29.991514
12673,Cypress Creek at Blanco River,12/7/2022,0.1,5,2,17.9,6,658,7.3,0.5,170,0.1,0.02,0.05,12,0.1,500,100,,20,50,427.7,-98.094754,29.991514
12673,Cypress Creek at Blanco River,3/29/2023,1,5,2,17.4,7.8,659,7.9,0.7,15,0.1,0.02,0.05,12,0.3,700,100,,20,50,428.35,-98.094754,29.991514
12673,Cypress Creek at Blanco River,6/14/2023,1.6,5,2,25.2,6.5,732,7.3,19.2,140,0.1,0.054,0.07,9,0.1,19200,100,,54,70,475.8,-98.094754,29.991514
12673,Cypress Creek at Blanco River,9/20/2023,,,6,,,,,,,,,,,,,,,,,,-98.094754,29.991514
12673,Cypress Creek at Blanco River,1/24/2024,5,1,3,13,8.7,600,7,7.4,490,0.1,0.02,0.994,0,0.5,7400,100,,20,994,390,-98.094754,29.991514
12673,Cypress Creek at Blanco River,3/20/2024,2.3,5,2,15.9,7.2,749,7.7,0.5,79,0.1,0.02,0.192,2,0.5,500,100,,20,192,486.85,-98.094754,29.991514
12673,Cypress Creek at Blanco River,7/11/2024,0.8,5,2,25.3,6.8,766,7.6,1.6,41,0.1,0.02,0.124,5,0.13,1600,100,,20,124,497.9,-98.094754,29.991514
12673,Cypress Creek at Blanco River,11/13/2024,0.2,5,2,18.3,5.9,758,7.4,4.7,130,0.1,0.02,0.05,8,0.13,4700,100,,20,50,492.7,-98.094754,29.991514
12673,Cypress Creek at Blanco River,2/13/2025,1.9,5,2,10.7,7.8,641,7.6,4.1,920,0.1,0.02,0.09,1,0.25,4100,100,,20,90,416.65,-98.094754,29.991514
12674,Cypress Creek at FM 12 in Wimberley,8/2/2016,8.1,,,26.1,7.6,555,7.5,0.5,480,0.1,0.02,0.2,,,500,100,,20,200,360.75,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,10/10/2016,17,,,20.1,8.7,592,7.7,2.2,260,0.1,0.02,0.39,,,2200,100,,20,390,384.8,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,1/9/2017,14,,,12,9.9,573,7.7,0.5,650,0.1,0.02,0.39,,,500,100,,20,390,372.45,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,5/10/2017,10,,,21.5,8.1,563,7.6,0.8,120,0.1,0.02,0.23,,,800,100,,20,230,365.95,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,8/16/2017,1.5,,,26.4,7.1,559,7.9,0.6,1000,0.1,0.02,0.05,,,600,100,,20,50,363.35,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,10/2/2017,6,,,23.1,8.3,571,7.9,0.9,240,0.1,0.02,0.22,,,900,100,,20,220,371.15,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,2/20/2018,4.9,,,17.5,8.2,576,7.8,144,870,0.1,0.11,0.18,,,144000,100,,110,180,374.4,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,5/3/2018,4.3,,,21.3,7.8,594,7.8,5,160,0.1,0.02,0.12,,,5000,100,,20,120,386.1,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,8/1/2018,0.3,,,25.7,6,585,7.6,13,2400,0.1,0.04,0.05,,,13000,100,,40,50,380.25,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,11/5/2018,28,,,19.8,8.4,595,7.8,1.5,110,0.1,0.02,0.59,,,1500,100,,20,590,386.75,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,2/4/2019,33,,,18.5,8.9,574,7.7,0.5,120,0.1,0.02,0.51,,,500,100,,20,510,373.1,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,4/22/2019,11,,,20.3,9.5,570,7.9,0.5,75,0.1,0.02,0.216,,,500,100,,20,216,370.5,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,8/26/2019,3.2,,,26.8,7.8,544,7.4,0.7,220,0.1,0.02,0.108,61,,700,100,,20,108,353.6,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,11/4/2019,0.3,,,15.7,8.7,496,7.6,1.5,76,0.1,0.02,0.05,12,,1500,100,,20,50,322.4,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,2/12/2020,3.7,,,12.4,9.6,491,7.9,,2400,0.1,,0.08,20,,,100,,,80,319.15,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,5/4/2020,1.1,,,22.3,7.2,606,7.7,1.6,230,0.1,0.02,0.09,,,1600,100,,20,90,393.9,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,8/3/2020,1.7,,,26.4,7.8,549,7.6,1.2,520,0.1,0.02,0.09,42,,1200,100,,20,90,356.85,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,10/28/2020,1.2,,,15.5,8.9,578,7.8,3.6,650,0.1,0.02,0.05,49,,3600,100,,20,50,375.7,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,2/10/2021,2,,,13.7,8.9,575,7.5,17.3,220,0.1,0.02,0.1,30,,17300,100,,20,100,373.75,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,5/10/2021,1.2,,,22.1,7.1,618,7.7,2.9,180,0.1,0.02,0.136,10,,2900,100,,20,136,401.7,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,7/14/2021,1.2,,,24.8,7.2,611,7.6,1.5,180,0.1,0.02,0.192,12,,1500,100,,20,192,397.15,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,10/26/2021,5.2,,,22.8,7.7,620,7.8,5.2,53,0.1,0.02,0.422,13,,5200,100,,20,422,403,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,1/19/2022,1,,,14,9.4,606,7.8,1.2,690,0.1,0.02,0.202,32,,1200,100,,20,202,393.9,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,4/21/2022,0.1,,,21.2,6.8,616,7.6,7.5,130,0.1,0.02,0.07,31,,7500,100,,20,70,400.4,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,7/14/2022,0,,,26.1,4.6,611,7.5,9.3,2400,0.1,0.027,0.05,17,,9300,100,,27,50,397.15,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,11/21/2022,0.01,2,2,10.1,6.4,656,7.3,0.5,140,0.1,0.02,0.05,24,,500,100,,20,50,426.4,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,2/21/2023,0.3,2,2,15.1,8.9,641,7.8,0.7,33,0.1,0.02,0.05,27,,700,100,,20,50,416.65,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,5/24/2023,1,2,3,21.3,6.9,650,7.6,6.9,1300,0.1,0.02,0.06,11,,6900,100,,20,60,422.5,-98.09753,29.996859
12674,Cypress Creek at FM 12 in Wimberley,8/16/2023,0,,1,23.4,1.3,795,7.1,109,140,0.26,0.103,0.05,103,,109000,260,,103,50,516.75,-98.09753,29.996859
12675,Cypress Creek at Blue Hole,9/21/2016,11,,2,25.2,6.3,571,7.5,1.89,51,0.1,0.02,0.35,32,,1890,100,,20,350,371.15,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,1/11/2017,17,,3,16.2,8,595,7.6,0.9,64,0.1,0.02,0.31,37,,900,100,,20,310,386.75,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,3/28/2017,16,,3,22,7.6,589,7.6,0.7,120,0.1,0.02,0.3,17,,700,100,,20,300,382.85,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,6/1/2017,6.8,,3,22.6,6,573,7.4,0.5,120,0.1,0.02,0.19,1,,500,100,,20,190,372.45,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,11/2/2017,10,,1,19.2,6.2,617,7.1,0.5,130,0.1,0.02,0.16,2,,500,100,,20,160,401.05,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,2/1/2018,2.9,,2,13.8,8.2,631,7.1,0.5,15,0.1,0.02,0.18,15,,500,100,,20,180,410.15,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,5/16/2018,4.4,,2,23.1,6.2,577,7.4,0.5,38,0.1,0.02,0.17,1,,500,100,,20,170,375.05,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,8/22/2018,0.9,,2,25.7,2.5,635,6.9,0.5,23,0.1,0.02,0.05,44,,500,100,,20,50,412.75,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,12/5/2018,15,,5,14.9,7.8,615,7.1,1.8,44,0.1,0.02,0.37,4,,1800,100,,20,370,399.75,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,3/13/2019,13,,3,18.9,5.6,637,7.4,0.5,120,0.1,0.02,0.38,0,,500,100,,20,380,414.05,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,8/22/2019,8,,3,26.8,5.8,545,7.6,1.3,110,0.1,0.02,0.113,38,,1300,100,,20,113,354.25,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,9/24/2019,7,,3,26,5,543,7.5,0.5,66,0.1,0.02,0.07,31,,500,100,,20,70,352.95,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,12/9/2019,1.5,,3,17,6,554,7.5,0.5,11,0.1,0.02,0.05,8,,500,100,,20,50,360.1,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,6/30/2020,,,,24.8,6.2,587,7.6,1.3,160,0.1,0.02,0.255,1,,1300,100,,20,255,381.55,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,9/10/2020,7.9,,5,23.4,5.7,552,7.5,0.6,180,0.1,<.02,0.154,1,,600,100,,<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02<.02,154,358.8,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,12/9/2020,0.6,,2,13.6,6.8,575,7.6,0.5,11,0.1,0.02,0.05,14,,500,100,,20,50,373.75,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,3/3/2021,2.1,,3,13.6,8.3,637,7.6,0.8,17,0.1,0.02,0.171,5,1.1,800,100,,20,171,414.05,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,6/9/2021,21,,5,23.7,6.9,611,7.5,1.1,50,0.1,0.02,0.559,3,1.3,1100,100,,20,559,397.15,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,9/9/2021,3.5,,3,24.5,4.2,622,7.4,0.5,26,0.1,0.02,0.09,3,0.8,500,100,,20,90,404.3,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,12/8/2021,12,,3,16.3,7.5,607,7.7,0.6,18,0.1,0.02,0.329,12,0.9,600,100,,20,329,394.55,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,3/9/2022,6.8,,3,13.6,9.1,603,7.7,0.5,17,0.1,0.02,0.248,2,1,500,100,,20,248,391.95,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,6/15/2022,0.2,,2,24.4,3.9,638,7.3,4.3,29,0.1,0.02,0.07,22,1,4300,100,,20,70,414.7,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,9/8/2022,-,,2,24,4.6,616,7.4,4.8,110,0.1,0.02,0.05,1,0.9,4800,100,,20,50,400.4,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,12/7/2022,1,5,2,17.7,2.2,631,7.9,0.9,28,0.1,0.02,0.05,12,1,900,100,,20,50,410.15,-98.09084,30.002777
12675,Cypress Creek at Blue Hole,3/29/2023,1.2,5,2,17.2,4.8,660,7.4,2.4,12,0.1,0.02,0.05,12,0.7,2400,100,,20,50,429,-98.09084,30.002777
